"site","AM_b_jenks","AM_b_norm","AM_b_raw","AM_f_jenks","AM_f_norm","AM_f_raw","APP_b_jenks","APP_b_norm","APP_b_raw","APP_f_jenks","APP_f_norm","APP_f_raw","CP_f_jenks","CP_f_norm","CP_f_raw","CRI_b_jenks","CRI_b_norm","CRI_b_raw","FH_b_jenks","FH_b_norm","FH_b_raw","FH_f_jenks","FH_f_norm","FH_f_raw","FR_b_jenks","FR_b_norm","FR_b_raw","FR_f_jenks","FR_f_norm","FR_f_raw","KMH_b_jenks","KMH_b_norm","KMH_b_raw","KMH_f_jenks","KMH_f_norm","KMH_f_raw","NR_b_jenks","NR_b_norm","NR_b_raw","NR_f_jenks","NR_f_norm","NR_f_raw","OE_f_jenks","OE_f_norm","OE_f_raw","PD_b_jenks","PD_b_norm","PD_b_raw","PD_f_jenks","PD_f_norm","PD_f_raw","POL_b_jenks","POL_b_norm","POL_b_raw","POL_f_jenks","POL_f_norm","POL_f_raw","PR_b_jenks","PR_b_norm","PR_b_raw","PR_f_jenks","PR_f_norm","PR_f_raw","RSB_b_jenks","RSB_b_norm","RSB_b_raw","RSB_f_jenks","RSB_f_norm","RSB_f_raw","SENS_f_jenks","SENS_f_norm","SENS_f_raw","SFTS_b_jenks","SFTS_b_norm","SFTS_b_raw","SFTS_f_jenks","SFTS_f_norm","SFTS_f_raw","SR_b_jenks","SR_b_norm","SR_b_raw","SR_f_jenks","SR_f_norm","SR_f_raw","STR_f_jenks","STR_f_norm","STR_f_raw","WB_b_jenks","WB_b_norm","WB_b_raw","WB_f_jenks","WB_f_norm","WB_f_raw","WS_b_jenks","WS_b_norm","WS_b_raw","WS_f_jenks","WS_f_norm","WS_f_raw"
1,"L",0,3.0952380952381,"H",0.840179350437978,5.0298509978425,"M",0.879094032709775,3.03416955131248,"M",0.985677483878081,0,"L",0.17411483725428,6.68434087583024,"H",0.829776723335489,6.58333333333333,"M",0.639433867172542,3.33333333333333,"M",0.85407725423685,0,"H",0.875800256081946,7.50759878419453,"L",0.021917808219178,1.66666666666667,"H",0.725274725274725,5.59523809523809,"L",0.0962378044992951,2.88134920634921,"L",0.0463373713791934,2.87652628820838,"M",0.321861763206763,5.52252653597735,"H",0.840236755257177,4.47890736633597,"M",0.326663248286697,5.54023619241623,"L",0,0,"L",0.173913043478261,1.66666666666667,"H",0.758432568780431,6.30125661375661,"L",0.11849587340156,2.87652628820838,"M",0.386772099096812,6.20053937432578,"L",0.138888888888889,4.83333333333333,"H",0.710682720740741,7.10682720740741,"L",0.0925038447295187,4.86152334720296,"H",0.992131743679056,3.26796878699802,"M",0.595983935742972,2.94444444444444,"L",0.258085567684963,4.27846867765578,"M",0.0777777777777778,0.777777777777778,"H",1,9.58333333333333,"H",1,10,"M",0.766462210567657,0,"M",0.337533407814695,6.9795635718959,"L",0.170295723111991,3.60517799352751
2,"H",1,10,"H",1,6.82368700369288,"H",1,5.47249183207592,"M",0.992516901099538,2.48137734956743,"M",0.345202554555619,7.15168352605029,"H",0.739314109012761,5.9016485715925,"M",0.515230583099659,1.53364213417495,"H",0.946984095839776,3.97941229810009,"H",0.871318822023047,7.47213779128673,"M",0.428767123287671,3.72916666666667,"H",0.67032967032967,5.29761904761905,"H",1,6.84640726778427,"L",0.0759914192791633,3.09803001953225,"M",0.384588650655227,5.93668689266118,"M",0.70464834241127,3.75614924216957,"L",0.175340401683682,4.53796778389183,"H",0.807049944506104,6.01150793650794,"M",0.608695652173913,3.75,"H",0.659201032439725,5.74186507936508,"L",0.194328450891625,3.09803001953225,"M",0.269208168595161,5.47213232650126,"L",0.00925925925925923,4.05555555555556,"H",0.648594162398589,6.48594162398589,"M",0.622177015417639,6.91692094313454,"H",0.991356855774607,3.04088835204301,"M",0.425060240963855,2.1,"M",0.339980706609069,4.50458465581771,"M",0.132241100323625,1.32241100323625,"M",0.464977645305514,6.53061224489796,"M",0.594936708860759,6.66666666666667,"H",0.893330834863827,4.60092640252484,"M",0.323304989042035,6.91469081471505,"M",0.339144322476156,4.90655339805825
3,"L",0.35632183908046,5.55555555555556,"M",0.73673458105383,3.8687810582152,"H",0.942851879387488,4.31998018259912,"H",0.998654355648432,4.70807886645185,"L",0.192083271801519,6.73342339299786,"M",0.614338151583406,4.95988708922335,"M",0.499480646400376,1.30542737579248,"H",0.96191177461038,4.61879888639588,"H",0.988476312419975,8.39918946301925,"H",0.798630136986301,5.60416666666667,"M",0.538461538461538,4.58333333333333,"H",0.75800014075862,5.78468605668673,"M",0.33061967573335,5,"M",0.359582096372162,5.77157869324961,"H",0.993905670665498,5.29804415473857,"M",0.20691375298195,4.7470900233149,"L",0,0,"M",0.469565217391304,3.08333333333333,"H",0.87170763184138,6.93981481481482,"H",0.779306701584105,4.80672659243555,"L",0.139707228097812,4.66976550059074,"L",0.101851851851852,4.61111111111111,"M",0.487605865840792,4.87605865840792,"L",0.252465442111628,5.48225458468177,"H",0.991154855275752,2.98169222718712,"M",0.520017211703959,2.56913265306122,"L",0.117377500023587,3.88996769002069,"M",0.134006285362041,1.34006285362041,"L",0.190461997019374,4.96428571428571,"M",0.506329113924051,5.9375,"H",0.874452054870187,3.91628212737745,"L",0.167469724265336,6.20417874351444,"M",0.35713964369264,5.04524965325936
4,"M",0.563218390804598,6.98412698412698,"M",0.73962111663608,3.90117969677534,"H",0.956833555431007,4.60194998924641,"M",0.991140361498136,1.98196137930229,"H",0.835193188636672,8.49014034297722,"H",0.771396482489598,6.14340662029996,"M",0.514356751794945,1.52098041978968,"H",0.950588523682432,4.13379817794717,"H",0.994878361075544,8.44984802431611,"M",0.276712328767123,2.95833333333333,"H",0.802197802197802,6.01190476190476,"M",0.649543850734696,5.30885791382615,"M",0.364163785146378,5.25056091579759,"H",1,10,"L",0,0,"M",0.318858220420427,5.48854054279276,"M",0.549053432693832,4.08975812547241,"M",0.643478260869565,3.91666666666667,"H",0.78565143426996,6.45469576719577,"H",0.931254935223068,5.25056091579759,"H",1,10,"M",0.194444444444444,5.16666666666667,"M",0.58098808228941,5.8098808228941,"L",0.248699146067951,5.46763946678995,"M",0.980980146732084,0,"L",0,0,"H",0.911646000866653,6.08297696200912,"H",1,10,"M",0.561847988077496,7.08333333333333,"M",0.392405063291139,5,"H",0.89228341040313,4.56294125936903,"H",0.732197966221197,8.77898896655667,"H",1,10
5,"L",0.35632183908046,5.55555555555556,"M",0.714561597436919,3.61991023659017,"H",0.953980452628802,4.54441119039437,"H",0.997852487840628,4.41715691342496,"L",0.169691415293874,6.67225787083943,"H",0.796465165472876,6.33231271498397,"H",0.763942959199878,5.13745565432856,"H",0.960004162679214,4.53709150889907,"H",0.987836107554418,8.39412360688956,"H",0.765753424657534,5.4375,"M",0.538461538461538,4.58333333333333,"H",0.80249034316,5.97987704449823,"H",0.77687322524445,8.33333333333333,"M",0.381408851059678,5.91569195750267,"H",0.859927369678447,4.5838687803985,"L",0.185696497110871,4.60656011819787,"M",0.532208657047725,3.96428571428571,"M",0.469565217391304,3.08333333333333,"H",0.769636886255646,6.36441798941799,"H",0.967417948058293,5.35619153714849,"L",0.11767668654752,4.53326783787949,"M",0.194444444444444,5.16666666666667,"M",0.460827605310257,4.60827605310257,"M",0.544701123782916,6.61627562028047,"H",0.991522715862086,3.0894935510531,"M",0.57302925989673,2.83103741496599,"M",0.433939592322804,4.76400915438112,"M",0.119132763137617,1.19132763137617,"L",0.190461997019374,4.96428571428571,"M",0.506329113924051,5.9375,"H",0.915705969477432,5.41236696298568,"H",1,10,"M",0.338829404354868,4.90412621359223
6,"L",0.35632183908046,5.55555555555556,"M",0.689629785817196,3.34007417349632,"H",0.953206407826086,4.52880095434836,"H",0.996749618549401,4.01703000345966,"L",0,6.20872935462601,"H",0.707187496054607,5.65955715444874,"M",0.610958358887184,2.92072651673218,"H",0.954438534137676,4.29870292219511,"H",0.991037131882202,8.41945288753799,"M",0.4,3.58333333333333,"M",0.538461538461538,4.58333333333333,"M",0.48456915628699,4.58506768957334,"H",0.5537464504889,6.66666666666667,"L",0.264752040382768,5.14545405339428,"H",0.829513458522302,4.42174650966464,"L",0.157649437394497,4.42079384075355,"L",0,0,"M",0.643478260869565,3.91666666666667,"M",0.395436147122661,4.25496031746032,"H",1,5.45136232413937,"L",0.0943958794297944,4.38902373247033,"M",0.194444444444444,5.16666666666667,"M",0.560313606039434,5.60313606039434,"L",0.14926088860163,5.08176914778856,"H",0.998760378256709,5.21048616842716,"H",0.842904953145917,4.16435185185185,"H",0.825677385632931,5.84561394168609,"L",0,0,"M",0.453353204172876,6.46428571428571,"M",0.506329113924051,5.9375,"H",0.900841165565979,4.87329066130765,"H",1,10,"L",0.0926046727850759,3.00638580674988
7,"L",0.368395593254472,5.63892195342374,"M",0.756544844097594,4.09113257055516,"M",0.892142302561005,3.29731526543009,"H",0.999940021926597,5.1745255063397,"M",0.290750701217374,7.0029430211801,"M",0.441410923932599,3.65678683214813,"M",0.631127427487711,3.21297398447458,"H",0.934838916964582,3.45920653774145,"M",0.217989756722151,2.30243161094225,"M",0.383561643835617,3.5,"L",0,1.66666666666667,"M",0.483759164410197,4.58151402818237,"M",0.19674361088002,4,"M",0.400899610856136,6.04438158897804,"M",0.77437128745645,4.12780950365136,"L",0.0577455806089887,3.75909283661803,"H",0.846257973593572,6.30355848386085,"L",0.295652173913043,2.25,"M",0.537278138534499,5.0545570197082,"M",0.415282316512788,3.74342685695261,"L",0.161631024494386,4.80560178764062,"L",0.138888888888889,4.83333333333333,"L",0,0,"M",0.496744017958287,6.43017799352751,"H",0.989261160521176,2.42674611682429,"M",0.423448078026391,2.09203514739229,"M",0.43458745733995,4.76579793737842,"M",0.115477945583124,1.15477945583124,"L",0.321907600596125,5.71428571428571,"M",0.468354430379747,5.625,"H",0.921953128733997,5.63892195342374,"L",0.0286906198311926,5.57143217570669,"M",0.332973426909004,4.85899214054554
8,"M",0.632183908045977,7.46031746031746,"M",0.7846830482984,4.40695736524659,"H",0.919332985231278,3.84567238021954,"H",0.99801047985512,4.47447726594597,"L",0.0189722412609696,6.26055386693685,"H",0.76229484875076,6.07482088382569,"M",0.552957760505091,2.08030456466108,"H",0.964620469134434,4.73481846164832,"L",0.0973111395646607,1.34751773049645,"H",0.767808219178082,5.44791666666667,"M",0.406593406593407,3.86904761904762,"M",0.367790319930803,4.0727262032794,"H",1,10,"M",0.297816228847427,5.36376356379739,"M",0.75704388657238,4.03544527062592,"L",0.0860795249340267,3.94675925925926,"H",0.690699223085461,5.14484126984127,"H",0.817391304347826,4.75,"H",0.737021176746641,6.18055555555555,"M",0.380072198684058,3.64057960135934,"L",0.0548027546467824,4.1437111522063,"L",0.101851851851852,4.61111111111111,"L",0,0,"L",0.14218549417557,5.05431306826938,"H",0.996062296697438,4.41981498811097,"M",0.584146108242494,2.88595993953137,"L",0.284510667883395,4.35142950851697,"L",0,0,"L",0.214605067064083,5.10204081632653,"L",0.278481012658228,4.0625,"H",0.938552799600397,6.24091369398325,"L",0.0077413789278397,5.47591664162234,"M",0.252770529662288,4.24084026814609
9,"L",0.425287356321839,6.03174603174603,"L",0,-4.40036952946643,"L",0,-14.6946044280322,"L",0,-357.609092014481,"L",0.136020225282487,6.58028175809331,"L",0,0.330516606999526,"L",0,-5.93198933332783,"L",0,-36.582080182679,"H",1,8.4903748733536,"M",0.424657534246575,3.70833333333333,"H",0.747252747252747,5.71428571428571,"L",0.00377624843782469,2.47569444444444,"M",0.258053492822644,4.45795999463976,"L",0.272179839353977,5.19449681633735,"H",0.866798683933016,4.62049652827865,"M",0.276386010090713,5.20723104056437,"H",0.698956714761376,5.20634920634921,"L",0.295652173913043,2.25,"M",0.452513638763419,4.57671957671958,"M",0.6599052364475,4.45795999463976,"L",0.00182627485322533,3.81547747470078,"M",0.25,5.5,"H",1,10,"M",0.557178499696691,6.66469409770381,"L",0,-287.475642764832,"M",0.572908777969019,2.83044217687075,"M",0.635262950546897,5.31987154950903,"M",0.135383790517286,1.35383790517286,"M",0.547242921013413,7,"H",1,10,"L",0,-27.7959679999835,"H",1,10,"M",0.384698728330634,5.25765718908923
10,"M",0.517241379310345,6.66666666666667,"M",0.645128681608998,2.84059126407549,"M",0.883739818532942,3.12786156121213,"H",0.999725345288559,5.09663966755251,"L",0.190061921038778,6.72790187785122,"M",0.494402023959832,4.05610345224468,"M",0.54988021133082,2.03571123361307,"H",0.937279009588981,3.56372127993382,"L",0.0446862996158771,0.931104356636272,"H",1,6.625,"L",0.153846153846154,2.5,"M",0.568857594623914,4.95486469322919,"L",0.0730824911076913,3.07630150387369,"L",0.198399900451554,4.7073576156709,"M",0.77773818329408,4.14575684346303,"L",0.0502970227965316,3.7097582228959,"H",0.773261105103062,5.75982354247568,"L",0,0.833333333333333,"M",0.366507490832594,4.09188267070874,"L",0.186889617524919,3.07630150387369,"L",0.129350253649285,4.6055953665177,"M",0.305555555555556,5.83333333333333,"L",0,0,"M",0.391808963854082,6.02297734627832,"H",0.996259007392007,4.47746093899823,"M",0.490705679862306,2.42431972789116,"M",0.344918833689818,4.51821903570669,"L",0,0,"M",0.572280178837556,7.14285714285714,"H",0.848101265822785,8.75,"H",0.934863872153259,6.10713370083921,"M",0.358277177544546,7.0741422849772,"L",0.0256508307839961,2.49034905224226
11,"M",0.724137931034483,8.09523809523809,"M",0.747853128342971,3.99357626155512,"H",0.94385585368785,4.3402274289572,"H",0.994350808612926,3.1467288579746,"L",0.130076865297087,6.56404689535389,"M",0.49005214271819,4.02332474271909,"M",0.514542629589518,1.52367376750193,"H",0.926876430696285,3.11815505829347,"L",0,0.577507598784195,"L",0.194520547945206,2.54166666666667,"M",0.417582417582417,3.92857142857143,"M",0.422004122064882,4.31057734848434,"L",0.0644527296384779,3.01184067976247,"L",0.204581302072469,4.74817091925189,"H",0.864498914612551,4.60823753855242,"M",0.325945139417108,5.53547988594944,"H",0.704950055493896,5.25099206349206,"M",0.469565217391304,3.08333333333333,"H",0.858978119317182,6.86805555555555,"L",0.164821228833351,3.01184067976247,"L",0.116260292357358,4.52449208917655,"M",0.212962962962963,5.27777777777778,"M",0.567815709347443,5.67815709347443,"L",0.314133017216644,5.72155570966251,"H",0.997119349755069,4.72958375172091,"M",0.682195448460509,3.37037037037037,"M",0.622239875283196,5.28391428219605,"L",0,0,"M",0.484649776453055,6.64285714285714,"M",0.734177215189873,7.8125,"H",0.892506214218565,4.5710213025058,"H",1,10,"L",0.0401483114390258,2.60208622283865
12,"M",0.586206896551724,7.14285714285714,"M",0.659113125072932,2.99755344809946,"M",0.846155010335078,2.36988511636809,"H",0.997297977447311,4.21597756063453,"H",0.950126604263186,8.80409208600698,"M",0.464591316977826,3.83146364011349,"M",0.49262991784646,1.20616111259874,"H",0.920931116782041,2.86350367957668,"H",0.897567221510884,7.67983789260385,"H",0.73972602739726,5.30555555555556,"H",0.747252747252747,5.71428571428571,"L",0.267819827184222,3.63412763150483,"M",0.243591067036449,4.34993152964089,"H",1,10,"L",0,0,"L",0.129940717905644,4.23726851851852,"M",0.583966823110313,4.34981901142851,"H",0.747826086956522,4.41666666666667,"H",0.824485246670968,6.67361111111111,"M",0.622921313449012,4.34993152964089,"H",1,10,"M",0.236111111111111,5.41666666666667,"L",0,0,"M",0.682431795143677,7.15073971336107,"M",0.980980146732084,0,"L",0,0,"H",0.719973802472437,5.55376183159068,"H",1,10,"M",0.488822652757079,6.66666666666667,"M",0.582278481012658,6.5625,"H",0.866240377602213,3.61848333779623,"M",0.637607576644612,8.34771550794616,"H",1,10
