"site","AM_b_jenks","AM_b_norm","AM_b_raw","AM_f_jenks","AM_f_norm","AM_f_raw","APP_b_jenks","APP_b_norm","APP_b_raw","APP_f_jenks","APP_f_norm","APP_f_raw","CP_f_jenks","CP_f_norm","CP_f_raw","CRI_b_jenks","CRI_b_norm","CRI_b_raw","FH_b_jenks","FH_b_norm","FH_b_raw","FH_f_jenks","FH_f_norm","FH_f_raw","FR_b_jenks","FR_b_norm","FR_b_raw","FR_f_jenks","FR_f_norm","FR_f_raw","KMH_b_jenks","KMH_b_norm","KMH_b_raw","KMH_f_jenks","KMH_f_norm","KMH_f_raw","NR_b_jenks","NR_b_norm","NR_b_raw","NR_f_jenks","NR_f_norm","NR_f_raw","OE_f_jenks","OE_f_norm","OE_f_raw","PD_b_jenks","PD_b_norm","PD_b_raw","PD_f_jenks","PD_f_norm","PD_f_raw","POL_b_jenks","POL_b_norm","POL_b_raw","POL_f_jenks","POL_f_norm","POL_f_raw","PR_b_jenks","PR_b_norm","PR_b_raw","PR_f_jenks","PR_f_norm","PR_f_raw","RSB_b_jenks","RSB_b_norm","RSB_b_raw","RSB_f_jenks","RSB_f_norm","RSB_f_raw","SENS_f_jenks","SENS_f_norm","SENS_f_raw","SFTS_b_jenks","SFTS_b_norm","SFTS_b_raw","SFTS_f_jenks","SFTS_f_norm","SFTS_f_raw","SR_b_jenks","SR_b_norm","SR_b_raw","SR_f_jenks","SR_f_norm","SR_f_raw","STR_f_jenks","STR_f_norm","STR_f_raw","WB_b_jenks","WB_b_norm","WB_b_raw","WB_f_jenks","WB_f_norm","WB_f_raw","WS_b_jenks","WS_b_norm","WS_b_raw","WS_f_jenks","WS_f_norm","WS_f_raw"
13,"M",0.586206896551724,7.14285714285714,"M",0.596413794266839,2.29381261454062,"M",0.864161634577429,2.7330264407832,"H",0.997401375512761,4.25349093484309,"M",0.45816858752228,7.46026117302713,"H",0.659895827655641,5.30318883648409,"M",0.511631824782983,1.48149654302762,"H",0.95198946089281,4.19380351950931,"H",0.983738796414853,8.36170212765957,"H",0.971232876712329,6.47916666666667,"H",0.747252747252747,5.71428571428571,"M",0.343669527548563,3.96690152643461,"L",0.160502172833951,3.72929113142238,"L",0.157044870433157,4.43430701998876,"M",0.801932377804793,4.27472472702512,"L",0.110484685846115,4.10840386439487,"M",0.516482105711916,3.8471426690347,"M",0.573913043478261,3.58333333333333,"L",0.199500188630284,3.1504231863692,"M",0.410442901414711,3.72929113142238,"M",0.315317929558562,5.75782092772384,"M",0.259259259259259,5.55555555555556,"L",0,0,"M",0.463849614236371,6.30253120665742,"H",0.99163248095534,3.12166014569999,"L",0.134457831325301,0.664285714285714,"M",0.594064425731829,5.20612066197442,"M",0.0919138798993168,0.919138798993168,"M",0.409538002980626,6.21428571428571,"M",0.582278481012658,6.5625,"H",0.889017156160985,4.44448962908286,"M",0.402741013806576,7.27686977699468,"M",0.312053865994841,4.69775774387425
14,"M",0.586206896551724,7.14285714285714,"M",0.671698987797087,3.13881788283397,"H",0.929148867983213,4.04363023255574,"H",0.995640398781754,3.61459910649733,"M",0.314082583953517,7.06667631591644,"M",0.528700951449896,4.31456443514992,"H",0.738286170590999,4.76569175933386,"H",0.933206267803812,3.3892764439318,"L",0.0912932138284251,1.29989868287741,"H",0.838356164383562,5.80555555555556,"L",0.285714285714286,3.21428571428571,"H",0.839323575569479,6.1414747588317,"L",0,2.53040488532759,"L",0.0327211553538607,3.61344763614313,"M",0.74644192007731,3.97893116845732,"L",0.179505600175543,4.56555546782285,"H",0.727946725860155,5.42228835978836,"L",0.208695652173913,1.83333333333333,"M",0.594532762362879,5.37731481481481,"L",0,2.53040488532759,"M",0.238764036210443,5.28350541942775,"M",0.305555555555556,5.83333333333333,"M",0.534935132545561,5.34935132545561,"M",0.526793967175094,6.54678687008784,"H",0.990060324405244,2.66094061302505,"M",0.315938037865749,1.5608843537415,"M",0.435764023696347,4.76904648736618,"M",0.118372373760723,1.18372373760723,"M",0.634873323397914,7.5,"M",0.544303797468354,6.25,"H",0.884952266987159,4.29707527800159,"L",0.203597514079613,6.36889903840805,"M",0.287460260332314,4.5082061950994
15,"H",1,10,"H",0.911174249190628,5.82670175500817,"H",0.983121036874296,5.13209215794903,"H",1,5.19628587392576,"M",0.276741562945697,6.96467570479729,"H",1,7.86605785621545,"H",1,8.5578948319115,"H",1,6.2502046032757,"H",0.967349551856594,8.23201621073962,"H",0.894794520547945,6.09166666666667,"M",0.538461538461538,4.58333333333333,"H",0.959607081740372,6.66919221390443,"M",0.258326363256005,4.45999822629573,"M",0.37308187613477,5.86071229813681,"H",0.857855168204079,4.57282284793957,"H",1,10,"L",0,0,"M",0.434782608695652,2.91666666666667,"L",0,2.02579365079365,"M",0.660603032186969,4.45999822629573,"L",0.165660809501355,4.83056968202599,"H",1,10,"L",0,0,"H",1,8.38306364617044,"H",0.993500348732712,3.66903767590631,"M",0.411348250143431,2.03225623582766,"H",0.898669191577941,6.04714743703014,"M",0.118377103987945,1.18377103987945,"M",0.340685543964233,5.82142857142857,"H",1,10,"H",0.999507753600704,8.45146227351226,"M",0.413761799676035,7.32711771930471,"M",0.31933447303701,4.75387193712436
16,"L",0.448275862068966,6.19047619047619,"H",0.914073021155848,5.85923773542253,"M",0.903056930096238,3.51743160957636,"H",0.99698748183459,4.10332808252837,"L",0.188236817922905,6.72291643213629,"M",0.594500272564867,4.81039793358219,"H",0.753908883207801,4.99206305549815,"H",0.929588041311395,3.23429953638847,"M",0.193021766965429,2.1048632218845,"M",0.416438356164384,3.66666666666667,"L",0.241758241758242,2.97619047619048,"M",0.498719890909326,4.64715092858119,"M",0.29632837592299,4.74385787446077,"L",0.225728451449646,4.88779702354558,"M",0.801820656405471,4.27412919273639,"L",0.0604751062708381,3.77717151675485,"H",0.675852490725607,5.03425177036848,"L",0.260869565217391,2.08333333333333,"H",1,7.6630291005291,"H",0.757783375999341,4.74385787446077,"L",0.155193151728391,4.76571377202445,"M",0.212962962962963,5.27777777777778,"L",0,0,"M",0.645998949587132,7.00936199722607,"H",0.990009142382912,2.64594175212359,"M",0.458795180722892,2.26666666666667,"H",0.850205491600224,5.9133370904116,"M",0.119736425746134,1.19736425746134,"M",0.484649776453055,6.64285714285714,"M",0.594936708860759,6.66666666666667,"H",0.903678548878178,4.97618916649445,"L",0.222532317963355,6.45522999016337,"M",0.284843440705417,4.4880374479889
17,"L",0.425287356321839,6.03174603174603,"M",0.724224765063405,3.72837017631925,"H",0.939925994626471,4.26097358297771,"H",0.996483547023141,3.92049782282947,"M",0.241179526856736,6.86753456307661,"M",0.504643928492672,4.13328174632243,"M",0.47099322308094,0.892647911727716,"H",0.952014362878743,4.19487012846253,"L",0.0875800256081947,1.27051671732523,"M",0.53972602739726,4.29166666666667,"L",0.208791208791209,2.79761904761905,"M",0.580777379355691,5.00716012976836,"M",0.29088663329739,4.70321026032928,"M",0.352498198230497,5.72480656887991,"H",0.972605923219804,5.18450520855617,"M",0.287363839461008,5.27994135377229,"H",0.695715871254162,5.18220899470899,"H",0.782608695652174,4.58333333333333,"M",0.525283041004282,4.98693783068783,"H",0.743867523069959,4.70321026032928,"L",0.101089526020427,4.43049648122464,"M",0.356481481481482,6.13888888888889,"H",0.644271029194591,6.44271029194591,"L",0.0802448911512147,4.81395245800586,"H",0.994827933089682,4.05808547429016,"H",0.911990820424555,4.50566893424036,"L",0.262970505902094,4.2919562008194,"L",0,0,"L",0.250372578241431,5.30612244897959,"M",0.468354430379747,5.625,"M",0.840305390810399,2.67794373518315,"L",0,5.44062075924392,"L",0.0387386779437346,2.5912216828479
18,"L",0.160919540229885,4.20634920634921,"H",0.910031306599254,5.81387330274843,"H",0.957227237216364,4.60988940770757,"H",0.997675580981933,4.35297415370511,"M",0.287440984652944,6.99390221021427,"H",0.711988143925555,5.69573263450323,"M",0.658243654966074,3.60588497963435,"H",0.960942559622895,4.57728519403308,"H",0.961331626120359,8.18439716312057,"H",0.871232876712329,5.97222222222222,"H",0.725274725274725,5.59523809523809,"M",0.59049735756404,5.04980439851943,"H",0.5537464504889,6.66666666666667,"M",0.296229888789588,5.35328959974622,"H",1,5.33053016106761,"M",0.355410802567368,5.7306421101257,"M",0.622349770096718,4.63572373393802,"M",0.434782608695652,2.91666666666667,"H",0.722297178389159,6.09755291005291,"H",0.860316902991656,5.04335394285658,"L",0.14250934020095,4.687126932758,"L",0.0648148148148149,4.38888888888889,"M",0.445296641736794,4.45296641736793,"M",0.490435583778369,6.40569810448451,"H",0.998004455250108,4.98896338539488,"H",1,4.94047619047619,"H",1,6.32692612921268,"L",0,0,"M",0.453353204172876,6.46428571428571,"M",0.40506329113924,5.10416666666667,"H",0.865604766350427,3.59543271668082,"M",0.378175213290784,7.16486497609043,"L",0.0803453602063463,2.91189898289413
19,"L",0.241379310344828,4.76190476190476,"M",0.733292670331193,3.83014885768223,"M",0.861284344190263,2.67499984857694,"M",0.985677483878081,0,"M",0.266598012698204,6.93696761604563,"M",0.470368786498154,3.875,"M",0.409388319856859,0,"M",0.85407725423685,0,"M",0.205825864276569,2.20618034447822,"L",0,1.55555555555556,"H",0.802197802197802,6.01190476190476,"L",0,2.45912698412698,"L",0.171003720352219,3.80773343946133,"M",0.613762639056448,7.44983037290939,"M",0.777697255755308,4.14553867798318,"M",0.32750687558366,5.54582385486968,"H",0.797664816870144,5.94160052910053,"M",0.391304347826087,2.70833333333333,"H",0.850765530591893,6.82175925925926,"M",0.437297900052028,3.80773343946133,"M",0.437246182306214,6.51326860841424,"M",0.236111111111111,5.41666666666667,"H",0.686985053662551,6.86985053662551,"M",0.630001499171485,6.94728386500231,"M",0.986789449732212,1.70241275477482,"M",0.479036144578313,2.36666666666667,"L",0.152798154908352,3.98776563177432,"L",0.0583333333333333,0.583333333333333,"M",0.572280178837556,7.14285714285714,"L",0.151898734177215,3.02083333333333,"M",0.766462210567657,0,"M",0.405168565788882,7.28793790710866,"M",0.309445794093536,4.67765641855448
20,"L",0.160919540229885,4.20634920634921,"M",0.720816016208942,3.69011018646941,"M",0.861135715300996,2.67200243546005,"M",0.985677483878081,0,"L",0.0327782632181378,6.29826635145784,"M",0.580165936433076,4.70238095238095,"M",0.588312634435724,2.59259259259259,"M",0.85407725423685,0,"H",0.872599231754161,7.4822695035461,"L",0.131506849315069,2.22222222222222,"H",0.725274725274725,5.59523809523809,"L",0.156043479608917,3.14373346560847,"H",0.5537464504889,6.66666666666667,"M",0.560162028039241,7.09592714129126,"M",0.7632743065559,4.06865671226419,"M",0.32437475540011,5.52507863904706,"M",0.617036943079118,4.59614984882842,"M",0.556521739130435,3.5,"M",0.465969294974398,4.65257227891156,"M",0.684860533149922,4.53085335418046,"M",0.390689542602198,6.22481121898598,"L",0.0648148148148149,4.38888888888889,"H",0.699789955537079,6.99789955537079,"M",0.551784957253756,6.64376444752658,"H",0.990378834512624,2.75427980867668,"M",0.618473895582329,3.05555555555556,"M",0.44272033244736,4.78825315308891,"L",0.025,0.25,"M",0.509687034277198,6.78571428571429,"M",0.594936708860759,6.66666666666667,"M",0.766462210567657,0,"M",0.424593146883001,7.37650193890957,"L",0.0545633135384799,2.71318770226537
21,"H",0.839080459770115,8.88888888888889,"H",0.901924366618331,5.72288055009162,"M",0.898566062253341,3.42686384549723,"H",0.998911328449919,4.80130998080221,"H",0.884836484007534,8.62574580659687,"M",0.505910551830834,4.14282643873437,"M",0.522008046689692,1.63184679652865,"H",0.926196555314254,3.08903444231136,"H",0.963508322663252,8.2016210739615,"H",0.654794520547945,4.875,"H",1,7.08333333333333,"M",0.527763937103368,4.77457529980594,"M",0.254896975592955,4.4343820889615,"H",1,10,"L",0,0,"L",0,3.37662203015664,"H",0.706808445297417,5.2648347322501,"H",0.782608695652174,4.58333333333333,"M",0.351934658013853,4.00973218093987,"M",0.651833257936285,4.4343820889615,"H",1,10,"M",0.263888888888889,5.58333333333333,"L",0,0,"L",0.187905260304818,5.23172869471413,"M",0.980980146732084,0,"L",0,0,"L",0.213292340859644,4.15479266425988,"H",1,10,"L",0,3.87755102040816,"L",0.278481012658228,4.0625,"H",0.901454692532218,4.89554038958594,"M",0.299560919346183,6.80643259625271,"H",1,10
22,"M",0.632183908045977,7.46031746031746,"H",0.853311799420148,5.1772503476372,"M",0.889518364751508,3.24439805904543,"H",0.998005759571662,4.47276472172219,"L",0.127832773455151,6.55791694140225,"M",0.504744159858725,4.13403704391578,"M",0.518988307591726,1.58809112678988,"H",0.924959966269304,3.03606850817489,"H",0.964148527528809,8.20668693009118,"H",0.991780821917808,6.58333333333333,"H",0.868131868131868,6.36904761904762,"H",0.940840334572816,6.58685723406783,"M",0.19624473080427,3.99627356782337,"L",0.157118198097526,4.43479117300297,"M",0.695231543519997,3.70595271165893,"L",0.0262582165915949,3.55054012345679,"M",0.553752427069833,4.12475972875264,"H",0.782608695652174,4.58333333333333,"M",0.537044641285857,5.05324074074074,"M",0.501845272724029,3.99627356782337,"L",0,3.80416217188062,"M",0.263888888888889,5.58333333333333,"L",0,0,"L",0.106809514874065,4.9170365233472,"H",0.994616468537195,3.99611591420223,"H",0.814457831325301,4.02380952380952,"L",0.216116231757608,4.16258954770137,"L",0,0,"L",0,3.87755102040816,"L",0.316455696202532,4.375,"H",0.897835059567516,4.76427338036963,"L",0.116995467783463,5.97404746631839,"L",0,2.29264909847434
23,"M",0.67816091954023,7.77777777777778,"H",0.923736119022929,5.96769689216811,"H",0.98178761709591,5.10520095292319,"H",0.999001712421666,4.8341017718269,"M",0.223043791190542,6.81799504671845,"M",0.618544078962772,4.99158102848176,"M",0.537943908898715,1.86275559401061,"H",0.959068127004309,4.49699896230175,"M",0.207746478873239,2.22137791286727,"M",0.342465753424657,3.29166666666667,"M",0.615384615384615,5,"H",0.9522288246241,6.63682173193045,"M",0.33061967573335,5,"L",0.261178083018619,5.12185665334913,"M",0.645852024645588,3.44273369695989,"M",0.278494207474074,5.22119442866941,"H",0.767902330743618,5.71990740740741,"L",0,0.833333333333333,"H",0.904733970786649,7.12599206349207,"M",0.424362180969823,3.76994875458179,"L",0.124828197302353,4.57757743874249,"L",0.138888888888889,4.83333333333333,"M",0.436784117519106,4.36784117519106,"L",0,4.50256202804746,"H",0.990962424403178,2.9253004755647,"M",0.455117613310384,2.2484977324263,"M",0.362820560959277,4.56764646968507,"M",0.105101710587147,1.05101710587147,"M",0.572280178837556,7.14285714285714,"L",0,1.77083333333333,"H",0.920556333535436,5.58826678203182,"H",1,10,"M",0.312514996101014,4.70131183541378
24,"H",1,10,"H",0.971420718467087,6.50291153209039,"H",0.974689203840824,4.96204656951384,"H",0.99911275854803,4.8743899036654,"L",0.00168969223953394,6.21334491243306,"H",0.736850638361242,5.88308498688175,"M",0.604221111048289,2.82310457595408,"H",0.967915706760906,4.87596101810274,"H",0.865556978233035,7.42654508611955,"H",0.914383561643835,6.19097222222222,"H",0.802197802197802,6.01190476190476,"H",0.89778412525326,6.39795757583112,"M",0.33061967573335,5,"L",0,3.39740303511624,"H",0.875051670480804,4.66448932199052,"L",0.0642945499388277,3.80246913580247,"M",0.39781098829955,2.96319196807122,"H",1,5.625,"L",0.213879274945738,3.23148148148148,"H",0.804862782450343,4.88137481694867,"L",0.197547970546628,5.02813736066163,"M",0.328703703703704,5.97222222222222,"L",0,0,"H",0.87399711881083,7.89410926182771,"H",1,5.57375657570804,"M",0.675301204819277,3.33630952380952,"H",0.888267261165868,6.01842726266084,"L",0,0,"H",0.926974664679583,9.16666666666667,"H",1,10,"H",1,8.46931372786225,"M",0.466304254774644,7.56667869833967,"L",0.0872923040009597,2.96544151641239
25,"L",0.402298850574713,5.87301587301587,"M",0.754284095108075,4.06575779608951,"H",0.927633458422652,4.01306882207443,"M",0.990369511386792,1.70229281336082,"H",1,8.94032609103531,"M",0.453011564105208,3.74420393468614,"M",0.430721202605975,0.309110999945325,"H",0.92550734561742,3.05951401629935,"M",0.251152368758003,2.56484295845998,"L",0.1,2.0625,"H",0.879120879120879,6.42857142857143,"L",0.295979752631514,3.75767311720899,"M",0.22946407292754,4.24440860345998,"H",1,10,"L",0,0,"M",0.344054265757758,5.65542347440721,"H",0.84419089900111,6.28816137566138,"M",0.521739130434783,3.33333333333333,"H",0.722649146477386,6.09953703703704,"M",0.586795170432073,4.24440860345998,"H",1,10,"L",0.138888888888889,4.83333333333333,"H",0.79996704760729,7.9996704760729,"M",0.407058814185141,6.08215441516412,"M",0.980980146732084,0,"L",0,0,"L",0,3.56588339660942,"H",1,10,"L",0,3.87755102040816,"L",0.367088607594937,4.79166666666667,"M",0.792033030802701,0.927332999835974,"M",0.303848720061546,6.82598230582284,"H",1,10
26,"M",0.586206896551724,7.14285714285714,"M",0.664746643425066,3.0607843765644,"H",0.939726531067122,4.25695098217594,"H",0.99718383288327,4.17456529894358,"H",0.941619759390572,8.78085481631581,"H",0.698411030890933,5.59342173918557,"H",0.746965341428914,4.89145193942558,"H",0.955555768863731,4.34655663815422,"H",0.878361075544174,7.52786220871327,"M",0.383561643835616,3.5,"H",0.747252747252747,5.71428571428571,"M",0.630671232737544,5.22605844898625,"H",0.5537464504889,6.66666666666667,"H",1,10,"L",0,0,"M",0.298462459875094,5.3534517117186,"M",0.589789123196448,4.39318783068783,"H",0.817391304347826,4.75,"H",0.647269314248842,5.67460317460318,"H",0.977785877059985,5.38647581649105,"H",1,10,"M",0.305555555555556,5.83333333333333,"M",0.494610709570841,4.94610709570841,"L",0.320635053012094,5.74678687008784,"M",0.980980146732084,0,"L",0,0,"H",0.73052590004231,5.5828966238997,"H",1,10,"M",0.488822652757079,6.66666666666667,"M",0.544303797468354,6.25,"H",0.895355620340552,4.67435581827673,"M",0.5444908828889,7.92316118746852,"H",1,10
27,"H",1,10,"H",0.994349415930293,6.76026452864912,"H",0.997137714565749,5.41476784619947,"H",0.997917766566981,4.44084038640747,"L",0.1955401741011,6.74286625603748,"M",0.612576670051512,4.94661337248002,"M",0.534344683599947,1.81060323634686,"H",0.954156822897864,4.28663658614404,"M",0.189820742637644,2.07953394123607,"L",0.194520547945205,2.54166666666667,"H",0.879120879120879,6.42857142857143,"H",0.834993855045962,6.12247906134512,"M",0.30952578022663,4.84243714117359,"M",0.400455076908412,6.04144651048401,"M",0.812013865425885,4.32846440085778,"H",1,10,"H",1,7.44874338624339,"H",0.834782608695652,4.83333333333333,"H",0.693465125828591,5.93501984126984,"H",0.791532332900583,4.84243714117359,"L",0.194388521268713,5.0085619253095,"L",0,4,"M",0.584702722763081,5.84702722763081,"M",0.628981863996354,6.94332716905532,"H",0.998311172421873,5.07884666834818,"M",0.62263339070568,3.07610544217687,"M",0.457470634434405,4.82897936719394,"L",0,0,"L",0.250372578241431,5.30612244897959,"M",0.468354430379747,5.625,"H",0.897859040134131,4.76514304237393,"H",1,10,"L",0.107979425349409,3.12488441978733
